Unnamed: 0,smog_index,masc,femn,neut,sing,plur,past,pres,futr,pssv,actv,3per,1per,2per,mttr,hdd,author,author_num
8498 maksim-gorkii zhizn-klima-samgina,13.731630019847785,0.31685393258426964,0.16853932584269662,0.09438202247191012,0.5483146067415731,0.11235955056179775,0.09887640449438202,0.04943820224719101,0.006741573033707865,0.008988764044943821,0.0022471910112359553,0.051685393258426963,0.01348314606741573,0.0022471910112359553,0.0136433385943952,0.9504091811586016,maksim-gorkii,6.0
8499 maksim-gorkii zhizn-klima-samgina,15.11431373767477,0.2987551867219917,0.14107883817427386,0.07053941908713693,0.4730290456431535,0.16597510373443983,0.13278008298755187,0.03941908713692946,0.0,0.01037344398340249,0.004149377593360996,0.05394190871369295,0.035269709543568464,0.006224066390041493,0.017942582494528,0.9353967207613678,maksim-gorkii,6.0
8500 maksim-gorkii zhizn-klima-samgina,11.689919816447764,0.3192488262910798,0.13380281690140844,0.06572769953051644,0.5046948356807511,0.13380281690140844,0.10093896713615023,0.051643192488262914,0.007042253521126761,0.011737089201877934,0.0,0.07746478873239436,0.028169014084507043,0.007042253521126761,0.0168058210760042,0.9414827709001296,maksim-gorkii,6.0
8501 maksim-gorkii zhizn-klima-samgina,15.092273764295076,0.2846153846153846,0.1519230769230769,0.11153846153846154,0.5211538461538462,0.15384615384615385,0.08846153846153847,0.05384615384615385,0.007692307692307693,0.015384615384615385,0.0057692307692307696,0.09038461538461538,0.026923076923076925,0.0057692307692307696,0.0183115540934942,0.938060081444323,maksim-gorkii,6.0
8502 maksim-gorkii zhizn-klima-samgina,9.30645512809637,0.25,0.18689320388349515,0.055825242718446605,0.48058252427184467,0.1383495145631068,0.13349514563106796,0.038834951456310676,0.007281553398058253,0.0048543689320388345,0.0048543689320388345,0.050970873786407765,0.03640776699029126,0.024271844660194174,0.0168492833651954,0.943257221141951,maksim-gorkii,6.0
8503 maksim-gorkii zhizn-klima-samgina,11.858100746658764,0.25,0.13135593220338984,0.07838983050847458,0.5190677966101694,0.06567796610169492,0.11016949152542373,0.06567796610169492,0.012711864406779662,0.01059322033898305,0.00211864406779661,0.11652542372881355,0.02754237288135593,0.025423728813559324,0.0275275083948602,0.8978495651562188,maksim-gorkii,6.0
8504 maksim-gorkii zhizn-klima-samgina,7.534581929985579,0.26218097447795824,0.14849187935034802,0.027842227378190254,0.5290023201856149,0.0951276102088167,0.11832946635730858,0.08816705336426914,0.02320185614849188,0.0,0.004640371229698376,0.0951276102088167,0.06728538283062645,0.037122969837587005,0.0261018227010958,0.9108896499526962,maksim-gorkii,6.0
8505 maksim-gorkii zhizn-klima-samgina,18.20644812995241,0.2443064182194617,0.20496894409937888,0.06625258799171843,0.4968944099378882,0.14492753623188406,0.09937888198757763,0.045548654244306416,0.004140786749482402,0.012422360248447204,0.002070393374741201,0.09523809523809523,0.006211180124223602,0.004140786749482402,0.0211656396940245,0.9298219400453984,maksim-gorkii,6.0
8506 maksim-gorkii zhizn-klima-samgina,16.13590730400693,0.29764453961456105,0.18629550321199143,0.06209850107066381,0.5267665952890792,0.14775160599571735,0.07708779443254818,0.059957173447537475,0.0,0.017130620985010708,0.0021413276231263384,0.07494646680942184,0.021413276231263382,0.01284796573875803,0.0179274537523654,0.9430204644100174,maksim-gorkii,6.0
8507 maksim-gorkii zhizn-klima-samgina,15.280775296386992,0.25510204081632654,0.17551020408163265,0.07346938775510205,0.4959183673469388,0.15306122448979592,0.09183673469387756,0.04693877551020408,0.0020408163265306124,0.01020408163265306,0.0020408163265306124,0.07142857142857142,0.024489795918367346,0.0,0.0178377687487928,0.9465845576934308,maksim-gorkii,6.0
