,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,neut,femn,masc,sing,plur,past,pres,futr,actv,pssv,1per,3per,2per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author
voskresenie. Text/chapter3.xhtml,48.0,991.0,632.0,479.0,172.0,761.0,237.0,696.0,6627.0,5363.0,1011.0,2290.0,248.0,10.395277707702657,41.11650647494113,8.628431729313824,16.786033978614327,8.628431729313824,68.98084846955936,958.0,84.0,227.0,205.0,442.0,182.0,143.0,24.0,3.0,15.0,18.0,2.0,30.0,1.0,0.6377396569122099,20.07614164047755,14.195975894043295,0.9347958031971506,0.9385518973548818,0.021763215568894777,45.94909225772945,0.8660721868365193,0.865263157894737,270.9958165063115,305.00743304280394,0.9086523726751297,139.359375,1564.8913633344575,lev-tolstoi
voskresenie. Text/chapter4.xhtml,92.0,1845.0,935.0,842.0,285.0,1463.0,510.0,1238.0,11794.0,9516.0,1857.0,4124.0,419.0,9.553812006598328,46.427003652645254,6.872594158713326,15.610998487020154,6.872594158713326,65.69120419465064,1701.0,176.0,561.0,288.0,911.0,236.0,255.0,31.0,5.0,18.0,11.0,,144.0,,0.5067750677506775,21.767744218151854,15.392119547789438,0.9096187729143693,0.9199623954280687,0.027673400957249107,36.135782571315936,0.8375389755011147,0.8411111111111111,162.1307166608732,162.83633378353613,0.8900868048042544,108.77925565929147,1321.9509118670558,lev-tolstoi
voskresenie. Text/chapter5.xhtml,64.0,1673.0,937.0,777.0,273.0,1252.0,433.0,1092.0,10951.0,8646.0,1665.0,3652.0,370.0,12.154112466377764,41.65959933502691,8.643885838501198,18.309979292156935,8.643885838501198,72.58413964435147,1560.0,170.0,341.0,358.0,816.0,182.0,211.0,36.0,4.0,20.0,32.0,10.0,90.0,13.0,0.5600717274357442,22.908234515284942,16.198567970769705,0.9218995914108541,0.9305243108590641,0.02422848051293917,41.273739781822144,0.8724753694581364,0.8709090909090909,249.94067688663213,235.34484319485642,0.9184291994215185,183.93319305628617,1615.1955597228687,lev-tolstoi
voskresenie. Text/chapter6.xhtml,37.0,748.0,438.0,315.0,107.0,598.0,197.0,508.0,4868.0,3884.0,763.0,1631.0,219.0,9.233459314929899,49.50699378522907,7.135782338488227,15.084880166520174,7.135782338488227,62.32851568145686,674.0,75.0,123.0,155.0,349.0,68.0,85.0,25.0,6.0,3.0,3.0,14.0,59.0,1.0,0.5855614973262032,16.01486608838416,11.32422041089092,0.9191247579481934,0.9201138916404265,0.02814127042898874,35.5349984117947,0.8572246065808282,0.8585714285714285,173.36720502467472,172.95937387319276,0.8982900037123641,147.27358987875593,1271.483737237004,lev-tolstoi
voskresenie. Text/chapter7.xhtml,45.0,663.0,418.0,312.0,126.0,516.0,210.0,432.0,4477.0,3602.0,687.0,1526.0,186.0,7.431444947209652,49.351953242835606,7.102534087481146,14.844079897039899,7.102534087481146,61.7921568627451,616.0,65.0,66.0,203.0,312.0,93.0,88.0,19.0,8.0,4.0,2.0,5.0,36.0,6.0,0.6304675716440422,16.2337748212549,11.479012260364776,0.9289965316086913,0.9289962801828597,0.02516502851271198,39.73768595155199,0.8657980456026046,0.8661538461538462,236.95456884186655,175.14957456336768,0.9172944629173176,191.3278116826504,1420.9550058713196,lev-tolstoi
voskresenie. Text/chapter8.xhtml,60.0,907.0,523.0,387.0,139.0,726.0,263.0,602.0,5883.0,4681.0,948.0,1971.0,251.0,6.680782984196984,56.58013597941934,5.507898649393603,13.50676657546926,5.507898649393603,57.78480338110989,835.0,90.0,116.0,268.0,451.0,81.0,116.0,33.0,11.0,7.0,9.0,12.0,56.0,4.0,0.5766262403528115,17.36592996946954,12.279566843022605,0.9191557313105976,0.9222600310159633,0.027334348628063745,36.58400694331219,0.8730069930069906,0.8688888888888888,211.337816069333,194.428273541384,0.9139510198393508,182.44715808170514,1278.3707530020076,lev-tolstoi
voskresenie. Text/chapter9.xhtml,48.0,856.0,537.0,394.0,113.0,690.0,215.0,588.0,5601.0,4483.0,884.0,1860.0,207.0,8.010482866043613,53.060545171339555,6.746806074766354,13.61524204231781,6.746806074766354,63.861370716510905,809.0,56.0,111.0,280.0,415.0,117.0,105.0,24.0,7.0,8.0,11.0,4.0,43.0,,0.6273364485981309,18.35428214061221,12.978437365438033,0.9309458514457021,0.9334903494634414,0.02354808741550682,42.466293858816016,0.8759851301115211,0.8764705882352941,292.7329857001446,281.2358992148146,0.9149187284366932,166.2607905497501,1514.1715496457991,lev-tolstoi
voskresenie. Text/chapter10.xhtml,44.0,973.0,587.0,478.0,206.0,709.0,246.0,669.0,6643.0,5432.0,980.0,2277.0,225.0,11.329032280668969,37.44215453611136,10.110788669064746,19.180054887532343,10.110788669064746,71.2400495188265,906.0,77.0,146.0,247.0,401.0,183.0,132.0,33.0,6.0,11.0,10.0,6.0,59.0,2.0,0.6032887975334018,18.818356042760666,13.306587168618911,0.9265507192154674,0.9303091880452095,0.02458049100245371,40.68266984171213,0.8585497835497843,0.8505263157894737,215.05581260585723,212.14115968251895,0.9086296361905267,149.64493670886077,1403.2177897900178,lev-tolstoi
voskresenie. Text/chapter11.xhtml,91.0,904.0,514.0,449.0,179.0,675.0,226.0,628.0,6390.0,5044.0,981.0,2125.0,345.0,5.437537440435673,52.64582490518333,6.67508956530196,12.449802373469463,6.67508956530196,59.60220752698629,849.0,87.0,184.0,207.0,462.0,90.0,141.0,32.0,1.0,8.0,7.0,8.0,39.0,8.0,0.5685840707964602,17.0953857046099,12.088263158729225,0.9170529970646303,0.9201120995429796,0.028058957020264088,35.639243442933505,0.8653333333333311,0.857777777777778,237.139449309037,207.95203488372093,0.9128556075948737,172.07251264755482,1142.4590776423586,lev-tolstoi
voskresenie. Text/chapter12.xhtml,29.0,838.0,484.0,437.0,184.0,585.0,178.0,591.0,5897.0,4815.0,847.0,2012.0,178.0,15.096279318574606,24.972108056950077,13.034337173895146,22.31993024469202,13.034337173895146,81.0445230845198,783.0,105.0,194.0,229.0,491.0,84.0,103.0,9.0,2.0,7.0,18.0,,55.0,,0.5775656324582339,16.719502567653898,11.822473643653963,0.9184472266199766,0.9206942195917589,0.027898038227488133,35.844814314387634,0.8852217997465122,0.8887500000000002,223.64982513875805,181.9892253136934,0.910525372362748,171.49290953545233,1241.0965833482928,lev-tolstoi
