,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,masc,femn,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
zhenitba. Text/chapter9.xhtml,7.0,64.0,43.0,22.0,5.0,55.0,23.0,37.0,361.0,275.0,53.0,115.0,27.0,1.0071875000000006,86.95709821428574,-1.5769910714285693,7.5221387261517805,-1.5769910714285693,43.51785714285714,58.0,9.0,13.0,4.0,3.0,31.0,4.0,,4.0,0.671875,5.375,3.8006989488776926,0.9043774591170164,0.8299965073767475,0.05294186751061642,18.888642335850168,0.7293333333333335,0.74,30.294773928361714,29.84375,0.7401428445518873,53.05263157894737,776.6573888130715,nikolai-gogol,1.0,1.0,,4.0,
zhenitba. Text/chapter10.xhtml,78.0,640.0,346.0,229.0,65.0,554.0,260.0,359.0,3874.0,3013.0,610.0,1235.0,245.0,1.5172315705128199,80.19411458333335,0.7324447115384629,8.120832257786885,0.7324447115384629,43.986378205128204,552.0,117.0,92.0,28.0,30.0,315.0,35.0,,34.0,0.540625,13.67685088022824,9.67099400268659,0.9048158430081349,0.9030611491106104,0.033919476966665744,29.48158667018205,0.8388832487309612,0.8216666666666668,102.67625540923383,118.77920751633987,0.8775212253693183,130.4913848117422,1198.6892234548454,nikolai-gogol,23.0,31.0,25.0,17.0,
zhenitba. Text/chapter11.xhtml,21.0,93.0,64.0,28.0,3.0,82.0,39.0,46.0,522.0,391.0,80.0,160.0,48.0,-1.8608602150537639,97.68000768049156,-3.478860983102919,3.3916420257968127,-3.478860983102919,34.53609831029186,82.0,20.0,15.0,2.0,2.0,48.0,4.0,,2.0,0.6881720430107527,6.636490846274722,4.692707680683306,0.9175492098169927,0.8729458949999157,0.041885448001252094,23.874640184584077,0.8122727272727275,0.8,76.90261939466689,66.9719827586207,0.8182110637907477,87.3061224489796,741.0759335732462,nikolai-gogol,4.0,5.0,,8.0,
zhenitba. Text/chapter12.xhtml,54.0,392.0,217.0,143.0,35.0,335.0,142.0,228.0,2382.0,1847.0,372.0,762.0,161.0,1.1573431594860146,80.57092214663642,0.4916814058956902,7.167805009140681,0.4916814058956902,43.73885109599395,344.0,67.0,53.0,23.0,16.0,192.0,25.0,,18.0,0.5535714285714286,10.960155108391486,7.75,0.9009649045517732,0.890559190182028,0.03818903618373759,26.185526002508535,0.7871137026239055,0.7885714285714286,76.79780431718714,73.9633568878852,0.873227995718114,131.22602739726028,1004.8983509704271,nikolai-gogol,13.0,17.0,9.0,12.0,1.0
zhenitba. Text/chapter13.xhtml,115.0,960.0,411.0,322.0,93.0,826.0,391.0,528.0,5620.0,4337.0,907.0,1796.0,362.0,1.157518115942029,83.54574275362319,-0.417580615942029,8.000629179368516,-0.417580615942029,41.88949275362319,806.0,168.0,76.0,57.0,52.0,431.0,57.0,,48.0,0.428125,13.264967960760403,9.379748797275969,0.8764601264023892,0.8793210787138481,0.041424761178310864,24.14015124180315,0.8271789242590549,0.8347368421052631,99.25793068121128,104.90673286809536,0.8680146318880858,123.17902060476318,1021.4278973160523,nikolai-gogol,37.0,69.0,27.0,20.0,
zhenitba. Text/chapter14.xhtml,32.0,302.0,175.0,126.0,45.0,253.0,118.0,180.0,1925.0,1535.0,284.0,661.0,103.0,4.0121895695364245,63.022872516556305,3.425430670529799,10.53431864738954,3.425430670529799,51.15935430463576,261.0,65.0,75.0,10.0,11.0,177.0,22.0,,25.0,0.5794701986754967,10.07011840884763,7.120649014247645,0.904448294008284,0.8894259455409581,0.03852880584188226,25.95460664168736,0.7807114624505925,0.7799999999999999,68.97124436621596,73.5451224149047,0.8501760834187001,102.83031674208145,1112.8236282500034,nikolai-gogol,13.0,3.0,10.0,8.0,
zhenitba. Text/chapter15.xhtml,131.0,1095.0,478.0,429.0,144.0,907.0,377.0,674.0,6878.0,5383.0,1020.0,2287.0,460.0,2.752468193384221,70.44466084562026,2.078683066680611,9.319462298197772,2.078683066680611,47.53686081773502,957.0,183.0,235.0,34.0,77.0,574.0,56.0,,80.0,0.4365296803652968,14.445109456650437,10.214234851779448,0.8815606533203852,0.8866011808213426,0.038967821440442245,25.662199297653395,0.8064053537284904,0.8104761904761905,91.52320359281437,85.13604290866189,0.874837849465148,127.95663319803461,1037.7428206901384,nikolai-gogol,25.0,33.0,34.0,32.0,2.0
zhenitba. Text/chapter16.xhtml,34.0,195.0,145.0,91.0,24.0,156.0,59.0,121.0,1272.0,984.0,184.0,395.0,92.0,1.0074736048265471,77.63809200603318,2.157673076923075,7.478054927099018,2.157673076923075,52.40196078431372,176.0,43.0,30.0,4.0,28.0,76.0,12.0,,15.0,0.7435897435897436,10.383665673571777,7.342360411356584,0.9438145569987743,0.9302101329569847,0.02453475712657319,40.75850414336959,0.8480821917808214,0.84,212.94000000000003,1.0,0.9082639673234751,173.5321100917431,1185.9107808841607,nikolai-gogol,1.0,3.0,7.0,3.0,
zhenitba. Text/chapter17.xhtml,18.0,114.0,82.0,47.0,17.0,85.0,32.0,70.0,722.0,559.0,102.0,240.0,58.0,1.8817543859649142,72.075350877193,1.4324649122807003,8.642057055469571,1.4324649122807003,47.56140350877193,96.0,18.0,26.0,4.0,13.0,55.0,11.0,,8.0,0.7192982456140351,7.680003654969891,5.430582663966679,0.9304338268929734,0.9000220663223945,0.033820802679242104,29.567601026032452,0.8415384615384612,0.8300000000000001,103.5985401459854,68.26086956521739,0.8586810653648115,117.10909090909091,937.0344322755043,nikolai-gogol,5.0,5.0,4.0,3.0,1.0
zhenitba. Text/chapter18.xhtml,72.0,823.0,476.0,364.0,116.0,658.0,234.0,540.0,5343.0,4162.0,793.0,1770.0,347.0,4.710850715539355,62.72011374375592,3.8237677956662637,11.272036852154386,3.8237677956662637,55.65898811934657,711.0,151.0,117.0,40.0,109.0,357.0,51.0,,50.0,0.5783718104495748,16.592316950142845,11.732539831042502,0.9184355848485314,0.9204832215339157,0.027977093970553073,35.74352650967027,0.8638501291989656,0.86375,221.44511368187278,192.9043829733485,0.923664991982424,221.65989515072084,1156.4419346342004,nikolai-gogol,36.0,26.0,20.0,36.0,2.0
zhenitba. Text/chapter19.xhtml,24.0,173.0,128.0,72.0,21.0,139.0,50.0,110.0,1122.0,878.0,157.0,362.0,82.0,2.2172278420038545,71.7057851637765,2.7523421242774546,8.320142078586075,2.7523421242774546,48.82683044315993,148.0,27.0,27.0,4.0,22.0,71.0,17.0,,18.0,0.7398843930635838,9.73165979225223,6.88132263130202,0.9415400186358905,0.9252256869583472,0.02612099066341047,38.283387214741865,0.880806451612903,0.8933333333333332,186.2248888888889,1.0,0.8995828960369509,163.4945054945055,1193.6245883353577,nikolai-gogol,3.0,4.0,1.0,3.0,2.0
zhenitba. Text/chapter20.xhtml,47.0,449.0,256.0,205.0,75.0,347.0,129.0,293.0,2966.0,2382.0,414.0,1014.0,160.0,4.577032649386343,58.6889022887741,4.84973702791072,11.218391948861944,4.84973702791072,55.210207079562146,393.0,87.0,85.0,21.0,42.0,218.0,36.0,,20.0,0.5701559020044543,12.081386961485023,8.542830646604799,0.9080001084668599,0.9010558821077785,0.03468753641425983,28.828798564919307,0.8626999999999987,0.85,117.90850174313852,134.91759950248758,0.8881308945532034,147.90588235294118,1095.1210698336301,nikolai-gogol,24.0,12.0,4.0,27.0,2.0
zhenitba. Text/chapter21.xhtml,42.0,370.0,243.0,170.0,57.0,293.0,103.0,247.0,2435.0,1927.0,342.0,821.0,161.0,3.924774774774775,62.02559202059203,4.033828185328183,10.349632448365748,4.033828185328183,54.755469755469754,325.0,49.0,65.0,34.0,35.0,174.0,22.0,,13.0,0.6567567567567567,12.632968451313884,8.932857658439763,0.9289014376255751,0.9218064283401717,0.027684181389705437,36.12171102057066,0.872710280373833,0.8714285714285713,163.2250470809793,174.72924875229842,0.9207759035641175,226.7940199335548,1155.690775830148,nikolai-gogol,16.0,16.0,14.0,9.0,
zhenitba. Text/chapter22.xhtml,58.0,421.0,245.0,161.0,43.0,358.0,156.0,245.0,2562.0,1985.0,391.0,840.0,177.0,1.5320448030141698,77.48430379228438,0.5117200630682284,7.662532769874543,0.5117200630682284,45.5009009746908,357.0,59.0,56.0,29.0,41.0,175.0,28.0,1.0,26.0,0.5819477434679335,11.940569381300193,8.443257580745826,0.9104074932172007,0.9027132381596544,0.034139815580409114,29.291312299116306,0.828494623655914,0.83,125.45605242868157,95.1005090835227,0.8898054317407581,150.35714285714286,1054.0149401307194,nikolai-gogol,28.0,10.0,9.0,25.0,
zhenitba. Text/chapter23.xhtml,38.0,311.0,155.0,110.0,30.0,272.0,136.0,166.0,1838.0,1416.0,288.0,588.0,130.0,1.2221924183448962,82.56594432222035,-0.24220676087324478,7.905571271397135,-0.24220676087324478,43.55398544592993,245.0,58.0,30.0,11.0,23.0,141.0,18.0,,25.0,0.4983922829581994,8.789243645418011,6.214933783175847,0.8786771916836287,0.8583982783844885,0.048670064259058274,20.54651078078008,0.7816793893129778,0.7599999999999999,65.88891708234829,72.31066591850043,0.8018628195807603,72.92738275340393,919.9472864265709,nikolai-gogol,28.0,13.0,13.0,10.0,
zhenitba. Text/chapter25.xhtml,102.0,864.0,399.0,368.0,100.0,729.0,284.0,545.0,5402.0,4261.0,810.0,1813.0,321.0,2.878759531590415,69.71061955337692,2.2085231481481458,8.804046683296436,2.2085231481481458,51.06318082788671,760.0,165.0,99.0,55.0,84.0,373.0,52.0,,62.0,0.4618055555555556,13.574255657923445,9.598448225277528,0.8857349645811996,0.8873608327849057,0.03891179999121754,25.699145252229442,0.8156564417177952,0.8176470588235292,87.54134198664589,84.20924726831242,0.8876742887898775,150.45036319612592,992.9398163127782,nikolai-gogol,23.0,19.0,25.0,24.0,2.0
zhenitba. Text/chapter26.xhtml,12.0,112.0,93.0,56.0,23.0,82.0,26.0,79.0,743.0,588.0,102.0,259.0,48.0,4.864583333333336,55.720416666666694,4.442999999999998,12.290023148126261,4.442999999999998,59.333333333333336,90.0,9.0,26.0,7.0,16.0,51.0,11.0,,9.0,0.8303571428571429,8.787673997464532,6.213823874463867,0.9606020085598083,0.9439756978180673,0.019225866161793365,52.01326127960111,0.9073015873015879,0.89,184.85894736842113,1.0,0.9178925514934684,214.3448275862069,1732.5206918938804,nikolai-gogol,7.0,6.0,3.0,2.0,1.0
zhenitba. Text/chapter27.xhtml,11.0,58.0,50.0,22.0,14.0,37.0,18.0,33.0,357.0,273.0,50.0,120.0,30.0,1.0970846394984335,75.63562695924767,-0.09582758620689447,10.024166631854515,-0.09582758620689447,43.20376175548589,51.0,9.0,6.0,6.0,4.0,27.0,5.0,,4.0,0.8620689655172413,6.565321642986127,4.642383454426297,0.9634473369696918,0.9343555434659726,0.020728185763034757,48.24348891080146,0.9022222222222224,0.9,117.73999999999997,1.0,0.9007864488808234,206.625,1102.1424959768356,nikolai-gogol,1.0,2.0,1.0,1.0,
zhenitba. Text/chapter28.xhtml,32.0,216.0,136.0,94.0,42.0,157.0,64.0,135.0,1394.0,1078.0,196.0,467.0,113.0,2.5003703703703692,68.12157407407406,2.095412037037036,10.178814096428074,2.095412037037036,50.26851851851852,177.0,22.0,33.0,18.0,16.0,110.0,24.0,,18.0,0.6296296296296297,9.253627917180895,6.543303050815759,0.9139349654360647,0.8938450019985754,0.0368673119017687,27.12429923462972,0.7731736526946102,0.8,56.565850513351506,50.899749373433586,0.8787607803754719,142.45398773006136,793.7142753913166,nikolai-gogol,12.0,9.0,8.0,10.0,
zhenitba. Text/chapter29.xhtml,49.0,426.0,238.0,170.0,44.0,356.0,138.0,262.0,2581.0,2015.0,398.0,851.0,161.0,2.2528638497652587,75.47403899588006,1.0087265497748419,8.427939934794258,1.0087265497748419,48.59998083740538,369.0,74.0,87.0,18.0,39.0,200.0,22.0,,36.0,0.5586854460093896,11.53113767805392,8.153745646947627,0.903844329870673,0.8954257473003264,0.0365693006377325,27.34534110745864,0.8475331564986729,0.8450000000000001,118.69341087506282,116.0712848146465,0.8859509996636511,149.38118811881188,977.8116946663234,nikolai-gogol,9.0,12.0,5.0,21.0,5.0
zhenitba. Text/chapter30.xhtml,41.0,331.0,191.0,118.0,41.0,275.0,123.0,193.0,1969.0,1515.0,312.0,660.0,139.0,1.9217448972072795,76.5030200427382,-0.12320974872890744,8.891153770860452,-0.12320974872890744,43.72271755950187,270.0,30.0,63.0,9.0,31.0,155.0,23.0,,22.0,0.5770392749244713,10.498309459649873,7.423425809913305,0.9052337591621956,0.8922710676645649,0.03760821812912965,26.589932991944774,0.814397163120568,0.81,105.47711267605635,92.12689393939394,0.8670042453494875,118.470715835141,943.7002878650242,nikolai-gogol,18.0,21.0,9.0,23.0,2.0
zhenitba. Text/chapter31.xhtml,8.0,61.0,43.0,28.0,10.0,47.0,16.0,41.0,398.0,312.0,53.0,134.0,30.0,3.1823155737704916,64.89954918032788,3.117173155737703,9.934710415586288,3.117173155737703,53.52663934426229,49.0,11.0,14.0,5.0,1.0,38.0,9.0,,9.0,0.7049180327868853,5.505585837114527,3.8930370798282965,0.9149393145999464,0.8466234453773952,0.04764424126679126,20.988895476377643,0.7333333333333334,0.74,46.46984265734265,40.79047619047619,0.7792036740729388,76.25,590.5321761958692,nikolai-gogol,,3.0,,3.0,
zhenitba. Text/chapter32.xhtml,64.0,500.0,268.0,199.0,45.0,434.0,183.0,296.0,3045.0,2378.0,469.0,1002.0,191.0,1.8673249999999975,76.23835,0.9239662499999994,7.463532811689714,0.9239662499999994,47.6125,410.0,79.0,61.0,18.0,47.0,206.0,40.0,,37.0,0.536,11.985324359398872,8.474904129251257,0.8996523822524443,0.8934938020674915,0.037179967760420735,26.89620406461277,0.836762749445674,0.842,92.72838952931359,100.58216224848292,0.888904288607689,150.48250904704463,915.5999508380418,nikolai-gogol,35.0,18.0,19.0,12.0,2.0
zhenitba. Text/chapter33.xhtml,39.0,275.0,178.0,126.0,39.0,224.0,88.0,175.0,1772.0,1387.0,256.0,594.0,124.0,2.6331282051282052,67.85233333333335,2.5110482517482495,8.891153770860452,2.5110482517482495,52.86946386946387,231.0,62.0,41.0,18.0,24.0,146.0,19.0,,21.0,0.6472727272727272,10.733803866968383,7.589945502259731,0.9225555857964023,0.9096047626237255,0.03174819670948362,31.497851961503265,0.8584070796460177,0.8480000000000001,117.65300230946882,117.69643804471391,0.8942354446307001,163.0952380952381,1033.8124273852065,nikolai-gogol,15.0,8.0,7.0,9.0,
zhenitba. Text/chapter34.xhtml,16.0,98.0,74.0,45.0,14.0,79.0,35.0,58.0,612.0,475.0,87.0,205.0,46.0,1.6816581632653076,73.15311224489795,1.0198992346938809,8.320142078586075,1.0198992346938809,52.04336734693877,78.0,12.0,16.0,5.0,10.0,46.0,8.0,,7.0,0.7551020408163265,7.475128829686359,5.285714285714286,0.9387340506179881,0.9082061503007994,0.030767952534322494,32.50135019171239,0.8404081632653065,0.8,112.04666666666665,1.0,0.8669570649746611,128.45945945945945,1052.5052114374619,nikolai-gogol,6.0,7.0,4.0,3.0,
zhenitba. Text/chapter35.xhtml,23.0,145.0,117.0,55.0,16.0,117.0,42.0,91.0,901.0,694.0,138.0,293.0,62.0,1.2501649175412304,77.19589955022491,0.6900247376311839,7.4240319924778575,0.6900247376311839,44.23538230884557,126.0,15.0,19.0,9.0,8.0,57.0,13.0,,15.0,0.8068965517241379,9.716321142887576,6.87047656832203,0.9568874248196246,0.9428218979738342,0.019946892493918015,50.13312225475266,0.8914583333333345,0.9199999999999999,210.24999999999994,1.0,0.9309448188095915,267.6923076923077,1264.4002813074608,nikolai-gogol,3.0,1.0,4.0,6.0,
zhenitba. Text/chapter36.xhtml,25.0,175.0,113.0,68.0,22.0,145.0,57.0,110.0,1079.0,850.0,159.0,367.0,65.0,2.1491428571428557,71.6967142857143,1.3292142857142863,8.343737396373243,1.3292142857142863,45.857142857142854,148.0,31.0,24.0,13.0,15.0,83.0,9.0,,17.0,0.6457142857142857,8.541997090008536,6.040104067220791,0.9153114654857816,0.8904587119891548,0.0377561738481516,26.485734598580258,0.8482539682539679,0.84,82.20098834478931,102.54180664427025,0.8462946962045079,97.59615384615384,938.7529611168565,nikolai-gogol,4.0,6.0,6.0,7.0,1.0
zhenitba. Text/chapter37.xhtml,16.0,138.0,108.0,64.0,22.0,107.0,42.0,87.0,883.0,683.0,131.0,293.0,64.0,3.135525362318841,68.01887681159421,2.361776268115939,10.417171745466554,2.361776268115939,55.0018115942029,112.0,27.0,9.0,8.0,18.0,53.0,9.0,,12.0,0.782608695652174,9.193570532194485,6.500836066631537,0.9502517074021603,0.9329235365787488,0.023248179261149002,43.014121182003336,0.8784269662921346,0.89,177.74400000000006,1.0,0.9120859577603825,189.06,1100.5092444349216,nikolai-gogol,6.0,8.0,4.0,7.0,3.0
zhenitba. Text/chapter38.xhtml,41.0,299.0,172.0,156.0,73.0,211.0,73.0,211.0,2084.0,1696.0,255.0,721.0,126.0,4.58642466759116,52.43110082388452,6.513824985724767,11.847186518661879,6.513824985724767,59.46659597030752,254.0,48.0,53.0,37.0,29.0,156.0,31.0,,23.0,0.5752508361204013,9.947016829819331,7.033603052941964,0.9029989351778929,0.8874433478872589,0.03918172384102382,25.522103214687707,0.812160000000001,0.8039999999999999,75.61918604651163,84.46104766300869,0.8319434266589586,79.41354723707664,946.256543092893,nikolai-gogol,13.0,9.0,5.0,7.0,
zhenitba. Text/chapter39.xhtml,9.0,79.0,65.0,38.0,8.0,68.0,23.0,53.0,502.0,398.0,75.0,165.0,26.0,2.9579465541490855,69.89857243319268,2.959888185654009,8.385519713184589,2.959888185654009,56.87904360056259,64.0,16.0,10.0,7.0,1.0,41.0,4.0,,8.0,0.8227848101265823,7.313071356019155,5.171122347142245,0.9553580705943768,0.928709388272554,0.023525132841176587,42.507730211396584,0.8666666666666667,0.88,124.82000000000006,1.0,0.8957422768215563,171.16666666666666,1121.3250993988975,nikolai-gogol,7.0,,3.0,7.0,
zhenitba. Text/chapter40.xhtml,78.0,545.0,250.0,205.0,47.0,478.0,205.0,320.0,3282.0,2558.0,494.0,1040.0,225.0,0.7639931780757472,83.06542813455657,0.3017020112914608,6.912945842786874,0.3017020112914608,44.60185838626206,459.0,121.0,31.0,29.0,23.0,274.0,31.0,,7.0,0.45871559633027525,10.708823421952983,7.572281660192283,0.8763130659891525,0.8688392869847552,0.045200662224184895,22.1235696733873,0.7754032258064517,0.746,66.93544968402594,63.05222311944324,0.8359281573454278,90.72215422276622,824.2158139387479,nikolai-gogol,39.0,40.0,14.0,24.0,1.0
zhenitba. Text/chapter41.xhtml,21.0,214.0,146.0,62.0,15.0,190.0,86.0,119.0,1184.0,901.0,214.0,390.0,65.0,1.7070716510903416,84.05934356920338,-1.8252162883845102,7.5221387261517805,-1.8252162883845102,39.16243880729862,175.0,36.0,25.0,24.0,15.0,110.0,10.0,,14.0,0.6822429906542056,9.980354534560083,7.057176370033344,0.9287418743126905,0.9126236087709946,0.030577456459545273,32.70383203138641,0.8138181818181823,0.82,121.45890754779619,74.04102167182663,0.8847296268590614,146.09615384615384,1215.1443246749354,nikolai-gogol,18.0,7.0,11.0,5.0,
zhenitba. Text/chapter42.xhtml,18.0,175.0,133.0,71.0,19.0,147.0,55.0,111.0,1084.0,846.0,175.0,347.0,56.0,2.6487460317460325,75.02639682539683,1.9497119047619051,9.133422017915692,1.9497119047619051,50.29365079365079,153.0,20.0,25.0,8.0,17.0,65.0,12.0,,16.0,0.76,10.053854982045445,7.109149034870488,0.9468638493274718,0.9324116654841745,0.02368936661758773,42.213032376204126,0.8563492063492066,0.8533333333333334,204.1666666666667,10.0,0.9057391230613838,177.03488372093022,1491.6203023763858,nikolai-gogol,6.0,,8.0,10.0,
zhenitba. Text/chapter43.xhtml,55.0,490.0,248.0,205.0,80.0,395.0,154.0,321.0,3089.0,2445.0,455.0,1047.0,180.0,3.373617810760667,66.835426716141,2.695122448979589,10.712832644283601,2.695122448979589,50.74582560296846,396.0,73.0,64.0,33.0,48.0,219.0,39.0,,34.0,0.5061224489795918,11.203497996025115,7.922069405999254,0.890065857504646,0.8823179421362243,0.04086473224442019,24.470978887584497,0.8238095238095227,0.82,97.09718624911703,93.78435683139534,0.87674104262156,134.76377952755905,823.6649726507054,nikolai-gogol,30.0,30.0,12.0,16.0,
zhenitba. Text/chapter44.xhtml,21.0,182.0,123.0,75.0,15.0,159.0,63.0,111.0,1106.0,860.0,175.0,359.0,68.0,2.056117216117215,77.01943223443222,0.9712197802197764,7.5221387261517805,0.9712197802197764,49.875457875457876,147.0,44.0,19.0,8.0,4.0,106.0,16.0,,11.0,0.6758241758241759,9.117366594931545,6.446951745839797,0.9247075656767704,0.9040003897109774,0.033314184110952,30.017244206537573,0.8505263157894724,0.8400000000000002,103.45330625940412,130.1315789473684,0.8795207083401562,140.77777777777777,926.6292690738807,nikolai-gogol,19.0,5.0,5.0,13.0,
zhenitba. Text/chapter45.xhtml,33.0,332.0,195.0,114.0,35.0,282.0,134.0,183.0,1986.0,1527.0,328.0,631.0,130.0,2.2140945600584168,79.53000730193502,0.5742289156626512,9.155126760970072,0.5742289156626512,44.39795545819642,307.0,58.0,18.0,30.0,18.0,125.0,23.0,1.0,11.0,0.5873493975903614,10.70201534899481,7.567467625636745,0.9083336712751635,0.8960285442685254,0.036359106753153715,27.503425944677865,0.7894699646643107,0.7966666666666667,70.282452822346,67.88925653594771,0.8794991117306431,136.0049504950495,983.2438526445743,nikolai-gogol,7.0,7.0,8.0,21.0,1.0
zhenitba. Text/chapter46.xhtml,17.0,149.0,89.0,41.0,10.0,129.0,61.0,78.0,798.0,613.0,137.0,267.0,46.0,0.7859139360442136,87.74490919857875,-2.8272718120805393,6.830855403265874,-2.8272718120805393,36.281484405842875,126.0,20.0,37.0,6.0,,78.0,12.0,,14.0,0.5973154362416108,7.291164092619461,5.155631572635081,0.8970192914338326,0.859986224908304,0.04738696818722535,21.102848277801016,0.7431999999999997,0.76,59.7261586452763,45.05172413793103,0.8080840497898948,81.07352941176471,773.6543115547695,nikolai-gogol,7.0,2.0,,10.0,
zhenitba. Text/chapter47.xhtml,6.0,53.0,40.0,15.0,7.0,44.0,28.0,23.0,304.0,234.0,46.0,105.0,19.0,2.200597484276731,76.28562893081764,-0.9237594339622639,9.599537510616244,-0.9237594339622639,37.13522012578616,46.0,10.0,11.0,2.0,4.0,25.0,3.0,,2.0,0.7547169811320755,5.494422557947561,3.8851434494290564,0.9291204612744929,0.8650588978065104,0.041106843733721934,24.32684947736942,0.74,0.74,60.50153846153848,1.0,0.796977717066507,86.125,689.7103478403156,nikolai-gogol,2.0,3.0,,3.0,
zhenitba. Text/chapter48.xhtml,22.0,160.0,101.0,47.0,8.0,144.0,73.0,79.0,880.0,671.0,147.0,289.0,57.0,0.1592613636363609,88.82482954545453,-2.7471250000000005,5.3814163221418,-2.7471250000000005,36.64772727272727,145.0,31.0,28.0,3.0,6.0,71.0,9.0,,10.0,0.63125,7.984751091925157,5.646071643186969,0.9093522083890694,0.8797679540748342,0.041126523203923626,24.315208826225216,0.8090090090090096,0.7866666666666666,63.73892922684114,49.15224291155311,0.8292191140825597,81.53846153846153,824.5041416601794,nikolai-gogol,4.0,1.0,1.0,13.0,
zhenitba. Text/chapter49.xhtml,27.0,245.0,157.0,87.0,27.0,205.0,89.0,143.0,1461.0,1127.0,233.0,491.0,90.0,2.4860922146636426,74.59339758125472,0.3012777777777771,8.891153770860452,0.3012777777777771,44.58427815570673,207.0,36.0,22.0,18.0,32.0,103.0,16.0,,11.0,0.6408163265306123,10.030362070499056,7.092537037806222,0.9191071590961816,0.9031481679872844,0.03385819070227352,29.534950901344285,0.8282653061224502,0.82,122.5,88.24347826086957,0.8773892947076116,130.5240174672489,961.7925006287992,nikolai-gogol,14.0,13.0,4.0,18.0,2.0
zhenitba. Text/annotation.xhtml,6.0,148.0,119.0,79.0,41.0,81.0,20.0,102.0,1054.0,818.0,136.0,355.0,50.0,13.006801801801803,30.60954954954957,10.478189189189187,23.161346419742262,10.478189189189187,78.04504504504504,140.0,34.0,41.0,15.0,18.0,85.0,8.0,1.0,8.0,0.8040540540540541,9.781739744668759,6.9167345052572475,0.9563579114304241,0.942410556517574,0.02010913626683667,49.72864009326782,0.8789898989898992,0.84,153.68711024769308,11.6,0.8966274894860726,125.03448275862068,1986.6241856307697,nikolai-gogol,,,,3.0,3.0
shinel. Text/chapter1.xhtml,354.0,10014.0,3564.0,4396.0,1610.0,7963.0,2898.0,6675.0,65185.0,52598.0,10085.0,22268.0,2485.0,13.504100361189249,36.41684473939873,9.7751375921168,18.904727111875072,9.7751375921168,72.18667763436274,9231.0,2574.0,1186.0,955.0,1029.0,4579.0,327.0,61.0,675.0,0.3559017375674056,35.61507816487609,25.183663282872825,0.8878495623642381,0.9142029758406703,0.028033351233555756,35.67179648514537,0.8803712995483874,0.8818,244.9633818030981,250.32006871896954,0.9166862014016938,183.99819066633393,1472.9509752367917,nikolai-gogol,50.0,58.0,68.0,1160.0,65.0
shinel. Text/annotation.xhtml,4.0,118.0,95.0,66.0,37.0,59.0,17.0,79.0,875.0,680.0,107.0,306.0,44.0,16.79550847457627,12.63245762711864,13.309326271186443,26.939319440997387,13.309326271186443,85.4322033898305,117.0,34.0,26.0,19.0,13.0,69.0,5.0,3.0,1.0,0.8050847457627118,8.745458870034073,6.183973271589134,0.9545541678120449,0.9361515319999885,0.021934565784971525,45.590143420352106,0.87536231884058,0.86,123.33955769520084,11.166666666666668,0.8785729729030181,93.28378378378379,1968.2879069408193,nikolai-gogol,,,,5.0,3.0
nos. Text/chapter1.xhtml,48.0,991.0,563.0,400.0,145.0,808.0,315.0,638.0,6298.0,4993.0,992.0,2119.0,310.0,9.135640977127476,51.48694038008745,6.2911966132694275,15.416406812698062,6.2911966132694275,61.00910275815674,889.0,331.0,107.0,70.0,52.0,541.0,30.0,3.0,65.0,0.5681130171543896,17.884284404412757,12.646098779029074,0.9180376426105863,0.9220662738680337,0.027356589604101325,36.55426405380878,0.8856687898089151,0.8905263157894737,241.0029956427015,220.70563927166978,0.9115047990482499,180.41375505700626,1307.5887344769071,nikolai-gogol,22.0,15.0,12.0,122.0,7.0
nos. Text/chapter2.xhtml,245.0,5811.0,2369.0,2482.0,830.0,4707.0,1781.0,3756.0,37343.0,29886.0,5833.0,12518.0,1618.0,10.7575893994149,46.53428369489251,7.8082111270321235,16.322899720274886,7.8082111270321235,66.43046509259358,5197.0,1563.0,710.0,467.0,595.0,2789.0,225.0,27.0,339.0,0.4076750989502667,31.077038298608542,21.974784520140147,0.89647719357425,0.9175568490359183,0.027501569329829282,36.36156133516936,0.8902533842416027,0.8887931034482762,264.64864189791456,262.1154903781727,0.921056292427493,203.49532879271894,1393.3609881116333,nikolai-gogol,159.0,116.0,63.0,601.0,43.0
nos. Text/chapter3.xhtml,37.0,868.0,484.0,341.0,107.0,708.0,302.0,513.0,5376.0,4208.0,869.0,1767.0,278.0,9.76584942084942,53.991274131274125,5.888396811558103,15.084880166520174,5.888396811558103,62.745173745173744,798.0,233.0,83.0,61.0,56.0,397.0,39.0,5.0,44.0,0.5576036866359447,16.428030445911563,11.616371729843127,0.9136727375492286,0.9162423901371004,0.029377806012714947,34.03930162678561,0.8548229548229533,0.8505882352941176,191.38169910680904,177.50450646243598,0.9016304905074315,154.8469135802469,1205.2911415130698,nikolai-gogol,18.0,8.0,7.0,76.0,1.0
