,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,masc,femn,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
zhizn-klima-samgina. Text/annotation.xhtml,6.0,116.0,104.0,71.0,30.0,70.0,18.0,82.0,899.0,687.0,114.0,296.0,43.0,11.510919540229882,28.343045977011485,11.45731034482759,19.819420831172575,11.45731034482759,80.54022988505747,112.0,38.0,25.0,12.0,13.0,72.0,4.0,,4.0,0.896551724137931,9.656157585206698,6.827934508705573,0.9770280382668879,0.9679390756722195,0.01112735732719582,89.86859778071023,0.9277611940298507,0.94,313.9733333333334,1.0,0.9578394896636436,444.6666666666667,2147.0363087959954,maksim-gorkii,,,,7.0,3.0
sluchai-s-evseikoi. Text/chapter1.xhtml,32.0,973.0,560.0,407.0,115.0,835.0,295.0,655.0,6335.0,4857.0,986.0,2076.0,488.0,13.884396518499486,39.077070272353524,8.737483443602265,16.810341956535375,8.737483443602265,72.23564362795477,804.0,189.0,135.0,40.0,125.0,427.0,109.0,,122.0,0.5755395683453237,17.95277578185004,12.694529496467785,0.9197069099838262,0.9235364316128539,0.026870835978524493,37.215068440714404,0.9051731601731599,0.9094736842105262,288.791767014186,291.39451805145393,0.9245441712726148,212.14804845222073,1239.5134744816867,maksim-gorkii,31.0,16.0,13.0,78.0,3.0
sluchai-s-evseikoi. Text/annotation.xhtml,7.0,137.0,104.0,70.0,38.0,74.0,21.0,91.0,1009.0,786.0,128.0,339.0,50.0,11.063503649635035,32.67754431699686,10.364822210636078,20.649264896731495,10.364822210636078,70.66631908237748,130.0,40.0,22.0,14.0,24.0,68.0,7.0,,7.0,0.7591240875912408,8.885319640254313,6.28286977063384,0.9439855497731701,0.9240793752742265,0.026215150023746525,38.145881259278234,0.855909090909091,0.81,120.52364287604046,13.8,0.8890890389865477,139.044776119403,1234.5496610237014,maksim-gorkii,,,1.0,4.0,4.0
moi-universitety. Text/chapter1.xhtml,1458.0,34468.0,11131.0,14819.0,4606.0,28295.0,9457.0,23444.0,222492.0,175461.0,34867.0,74584.0,12150.0,10.790089318447773,46.054101170637125,7.458018243199035,15.764195394606205,7.458018243199035,66.63410478505102,29814.0,8504.0,5205.0,2348.0,5035.0,16662.0,2064.0,118.0,2535.0,0.3229372171289312,59.95510123302381,42.39465864859707,0.8918146600608353,0.9242924158956403,0.02384294010728481,41.94113626508951,0.9099741421887192,0.9093468795355589,437.53499571088867,447.1962176726899,0.9337132965805417,239.28021404548628,1445.9197948482313,maksim-gorkii,1662.0,457.0,274.0,3656.0,298.0
moi-universitety. Text/annotation.xhtml,5.0,138.0,106.0,73.0,42.0,73.0,22.0,93.0,1034.0,817.0,129.0,358.0,45.0,15.871681159420294,15.043405797101457,13.76281449275362,25.67409803290645,13.76281449275362,80.49855072463768,130.0,35.0,29.0,17.0,18.0,73.0,8.0,1.0,8.0,0.7681159420289855,9.023319226042736,6.3804502135457675,0.9464580864103164,0.9276652766356005,0.02502099951812149,39.96642897002371,0.8842696629213487,0.86,124.64370320855615,12.214285714285715,0.9028542338527427,168.80357142857142,1080.129443612053,maksim-gorkii,,,,3.0,3.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter1.xhtml,22.0,1135.0,716.0,573.0,262.0,827.0,279.0,810.0,7913.0,6535.0,1128.0,2804.0,240.0,26.724082899479374,-8.709305166199414,19.474509911894273,30.56042444804726,19.474509911894273,102.07549058870646,1019.0,176.0,247.0,135.0,220.0,523.0,42.0,9.0,63.0,0.6308370044052863,21.252747943599786,15.027962189767862,0.9345063468854792,0.939346185247942,0.021438213366920495,46.645678111545244,0.8882504604051591,0.8881818181818183,393.17700593418374,377.2932972705805,0.9264720510652366,197.83123270826928,1644.6443886126808,maksim-gorkii,53.0,,19.0,60.0,20.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter2.xhtml,11.0,434.0,336.0,256.0,124.0,293.0,99.0,318.0,3304.0,2758.0,433.0,1164.0,111.0,22.321529116045244,-5.645770842061154,19.80829032258064,29.73406980183142,19.80829032258064,98.44072056975283,410.0,55.0,121.0,68.0,55.0,231.0,9.0,3.0,18.0,0.7741935483870968,16.128516120773927,11.404583119475795,0.9578574843803427,0.9556041964976819,0.015978267194028672,62.585009241409836,0.9168831168831153,0.9299999999999999,538.1600000000001,1.0,0.9346600232882126,205.6039387308534,1885.524572587668,maksim-gorkii,6.0,,3.0,29.0,7.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter3.xhtml,8.0,423.0,284.0,199.0,75.0,329.0,111.0,293.0,2771.0,2259.0,414.0,951.0,93.0,25.730806737588654,2.9790602836879714,17.222501329787235,27.12039434511437,17.222501329787235,99.91991725768321,379.0,69.0,64.0,55.0,92.0,172.0,18.0,1.0,13.0,0.6713947990543735,13.80855252846735,9.764121131249912,0.9341204858755853,0.9294216472038712,0.025084149390072998,39.86581264723881,0.866096256684493,0.8675,235.39794278804783,195.25711952638562,0.9158023696643998,188.6955602536998,1222.755187433626,maksim-gorkii,31.0,,4.0,12.0,3.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter4.xhtml,9.0,344.0,244.0,181.0,64.0,259.0,77.0,246.0,2371.0,1920.0,347.0,808.0,97.0,19.285400516795864,15.980994832041347,14.620868217054259,23.626410055627876,14.620868217054259,90.83850129198967,314.0,53.0,64.0,47.0,72.0,145.0,19.0,,9.0,0.7093023255813954,13.155598330819487,9.302412790288885,0.9411925174956446,0.9348871540614486,0.023183965138503636,43.13326016606247,0.8766779661016953,0.88,288.12480652877446,272.0898148148148,0.923632554610986,224.319391634981,1439.3494418312866,maksim-gorkii,20.0,1.0,3.0,10.0,6.0
nesvoevremennye-mysli-zametki-o-revolyucii-i-kulture. Text/chapter5.xhtml,13.0,491.0,376.0,258.0,116.0,357.0,99.0,374.0,3555.0,2936.0,489.0,1244.0,129.0,20.412238759204133,5.465346232179229,16.98677432241893,26.459869949873493,16.98677432241893,90.31505561648127,453.0,108.0,94.0,59.0,141.0,210.0,32.0,2.0,24.0,0.7657841140529531,16.96864245848531,11.998642149924931,0.9569341740357775,0.9555321198428989,0.016003166790110178,62.48763217402642,0.9296380090497733,0.9266666666666666,586.9798260869565,1.0,0.9463250018279092,306.0941475826972,2064.993144975992,maksim-gorkii,13.0,1.0,5.0,29.0,21.0
